continente,Codigopais,Pais,popData2019,Suma de Casos,Suma de muertes,Máx. numero acumulado por 14 días de COVID-19 casos por 100000,Desempleo,Creci_poblacion,exportacion_ind,exportacion,Inflacion,pib,Pobl_laboral,desnutricion,Tasa de Mortalidad,Tasa de Casos
Africa,DZA,Algeria,43053054,92102,2596,33.91164771,11.747,1.657703201,26.58402016,38558000000,7.226063074,1.798419729,12260834,2.5,0.00602977,0.213926752
Africa,AGO,Angola,31825299,16188,371,11.08552036,10.384,3.166029862,44.27571642,33581000000,25.75426565,-2.050716696,14470377,20.8,0.001165739,0.050865194
Africa,BEN,Benín,11801151,3090,44,6.0333098,1.752,2.759705179,28.45237891,3445000000,1.733539627,4.238979279,4647780,7.4,0.000372845,0.026183887
Africa,BWA,Botsuana,2303703,12501,37,108.9116088,21.155,1.636742755,44.61392713,7395000000,7.240977656,9.56201765,1116485,21.9,0.00160611,0.542648076
Africa,CMR,Camerun,25876387,25143,443,15.3035275,4.122,2.635819406,16.70784962,4317000000,2.271857625,0.953583607,11162667,6.7,0.001711986,0.097165806
Africa,CPV,Cabo Verde,549936,11357,110,256.2116319,13.91,0.902988883,24.61632547,55000000,1.862152975,5.991027269,238605,17.7,0.020002328,2.065149399
Africa,CAF,Republica Centroafricana,4745179,4936,63,28.97677833,6.458,2.113637226,14.18648,133000000,4.259364175,-1.210279564,1985303,52.2,0.001327663,0.104021366
Africa,TCD,Chad,15946882,1770,102,2.52086897,1.538,3.163887505,38.75012725,2694000000,-0.77284437,-4.276978783,5334220,32.7,0.000639623,0.011099348
Africa,COG,Congo,5380504,6049,99,24.04979162,22.235,2.316488253,58.45759267,2362000000,1.715642755,-4.439489192,2299859,31.6,0.001839976,0.112424412
Africa,CIV,Costa de Marfil,25716554,21680,133,15.27809675,2.817,2.45530301,22.96157588,15333000000,4.091951897,4.441855285,10355728,4.4,0.000517177,0.084303675
Africa,EGY,Egipto,100388076,121575,6920,21.36807563,7.4,1.658383679,11.09761867,40798000000,5.214049405,1.627318692,30223373,5.1,0.006893249,0.12110502
Africa,ETH,Etiopia,112078727,116769,1806,18.95631809,3.93,2.604319283,7.592838243,3949000000,26.83952216,2.921685518,58059357,24.9,0.001611367,0.104184802
Africa,GAB,Gabón,2172578,9330,63,80.36535397,21.836,2.097988103,55.79941808,7598000000,1.086907465,-0.644205944,698691,17.2,0.002899781,0.42944373
Africa,GMB,Gambia,2347696,3782,123,63.42388452,4.981,2.52879318,6.471856666,33000000,7.370347589,1.661892082,907836,21.6,0.005239179,0.161094111
Africa,GHA,Ghana,30417858,53014,327,32.72419774,3.919,2.00774487,29.90761972,14727000000,9.971088675,3.262282019,14140200,4.1,0.001075026,0.174285776
Africa,KEN,Kenia,52573967,91892,1587,28.31058954,5.644,1.942761283,10.56913508,6739000000,6.110909164,5.448709326,24116304,26.9,0.003018604,0.174786126
Africa,LSO,Lesoto,2125267,2250,44,18.02126509,18.293,1.20621788,43.30867294,1061000000,6.04774592,0.132493293,963885,34.7,0.002070328,0.105869051
Africa,MDG,Madagascar,26969306,17638,258,17.65340198,2.31,2.416869374,21.02060604,2726000000,5.812251188,1.909319693,14925441,48.5,0.000956643,0.065400274
Africa,MLI,Mali,19658023,5814,194,5.87546367,2.603,3.157964369,29.5861239,5015000000,3.925602831,-0.15090208,7704564,9.8,0.000986874,0.029575711
Africa,MRT,Mauritania,4525698,10780,222,56.94149278,11.287,2.553910771,39.45245355,3267000000,3.565164847,-0.137867842,1085402,10.1,0.004905321,0.238195302
Africa,MUS,Mauricio,1269670,515,10,18.35122512,7.656,0.025278458,44.03915368,1962000000,4.028528882,3.677399763,614147,7.8,0.000787606,0.040561721
Africa,MAR,Marruecos,36471766,399609,6624,197.5199117,10.542,1.051484312,32.93164216,35843000000,1.40195884,6.790377381,12285624,5.6,0.018161994,1.095666714
Africa,MOZ,Mozambique,30366043,16954,142,9.36243158,3.939,2.842112349,31.384078,5583000000,5.688486991,-0.504357259,14119252,32.7,0.000467628,0.055832102
Africa,NAM,Namibia,2494524,16536,160,129.4034453,21.268,1.63585889,31.73737631,6696000000,3.616905301,0.990403649,943756,18,0.006414049,0.662891999
Africa,NGA,Nigeria,200963603,73175,1197,4.35352465,5.936,2.406363381,10.7384551,46932000000,16.95284572,1.182828223,70620043,12.7,0.00059563,0.036412066
Africa,RWA,Ruanda,12626938,6659,56,12.46541323,13.315,2.371751548,19.0641467,1531000000,-0.391346748,8.285556163,4588673,35.8,0.000443496,0.052736459
Africa,SLE,Sierra Leona,7813207,2440,75,5.32431817,3.697,2.241767371,16.92814316,697000000,11.87395888,1.796879524,2713620,27.4,0.000959913,0.031229174
Africa,ZAF,Sudafrica,58558267,860964,23276,292.5445181,28.77,0.998920419,31.1938143,1.23572E+11,4.611672178,3.870315287,23621462,6.9,0.039748444,1.47026892
Africa,SDN,Sudan,42813237,21386,1347,9.99924393,19.05,2.70104594,2.251364396,4279000000,382.8159983,-4.483619626,13042838,12.8,0.003146223,0.049951841
Africa,TUN,Tunez,11694721,111361,3894,213.9683367,16.264,0.82886347,42.12557898,16689000000,5.706350208,3.461656656,4164773,3.1,0.033297075,0.952233063
Africa,TZA,Tanzania,58005461,509,21,0.67579844,2.74,3.007287233,14.33087714,6391000000,3.690919588,1.195259315,29342820,22.6,3.62035E-05,0.000877504
America,BLZ,Belice,390351,9295,195,909.9502755,10.29,1.285629921,46.47802529,423000000,3.235636592,13.75423091,184589,7.4,0.04995504,2.381190262
America,BOL,Bolivia,11513102,147150,9018,195.9593514,5.09,1.193486719,27.82390202,11030000000,0.737383721,4.846972481,5664325,13.9,0.078328152,1.278109062
America,BRA,Brasil,211049519,6901952,181402,304.320523,13.34,0.528590453,20.09727521,2.80815E+11,8.301659756,4.067872349,105434083,4.1,0.08595234,3.270299801
America,CAN,Canada,37411038,460743,13431,241.8136594,7.46,0.547707006,30.73531293,5.07615E+11,3.395193185,3.969874711,20971220,2.5,0.035901169,1.231569677
America,CHL,Chile,18952035,571919,15886,575.151956,9.35,0.994344898,31.89080305,94677000000,4.524568383,10.56335959,9081005,2.6,0.083822133,3.01771815
America,COL,Colombia,50339443,1425774,39053,310.8179008,13.9,1.143820916,16.40860095,40287000000,3.495057574,9.418278806,25983568,8.2,0.077579325,2.832319778
America,CRI,Costa Rica,5047561,150947,1895,335.0132866,15.14,0.600406861,36.13156078,15494000000,1.726477551,6.935585392,2529009,3.4,0.037542885,2.990493825
America,DOM,Republica Dominicana,10738957,154692,2361,185.2693888,7.7,1.068926667,21.75270208,12350000000,8.24300348,11.07827631,5101650,6.7,0.021985375,1.440475085
America,ECU,Ecuador,17373657,202110,13875,125.2068002,4.5,1.182063375,26.18836454,26699000000,0.133251386,3.010378163,8652009,15.4,0.079862288,1.16331294
America,SLV,El Salvador,6453550,41880,1205,90.44634349,4.35,0.340068122,29.54716125,6395000000,3.466925853,9.904091117,2703446,7.7,0.018671894,0.648945154
America,GTM,Guatemala,17581476,129282,4423,90.89111745,2.942,1.480316806,17.78978113,13753000000,4.261051274,6.394084981,6642741,16,0.02515716,0.735330754
America,HTI,Haiti,11263079,9565,234,22.17866003,15.017,1.237298997,7.114723776,969000000,16.84152402,-3.005803291,5059273,47.2,0.002077585,0.084923492
America,HND,Honduras,9746115,114359,2975,117.8418272,7.947,1.535139668,38.46333505,10216000000,4.480879634,10.81973307,4428040,15.3,0.030524984,1.173380367
America,JAM,Jamaica,2948277,11710,273,79.36839042,6.011,0.257040922,27.57825281,1441000000,5.862782428,4.331480446,1516188,6.9,0.009259646,0.397181133
America,MEX,Mexico,127575529,1250044,113953,118.1927296,4.09,0.559420832,41.05247104,4.94765E+11,5.689208477,4.136372212,56993986,6.1,0.089321989,0.979846221
America,NIC,Nicaragua,6545503,5887,162,16.6984875,5.932,1.39120242,46.8394163,6495000000,4.928413969,8.819856485,3131250,18.6,0.002474982,0.089939612
America,PAN,Panama,4246440,193007,3356,665.9225139,10.301,1.315615015,51.06398072,13161000000,1.630703373,13.82843564,2064539,5.8,0.079030906,4.545148407
America,PRY,Paraguay,7044639,93582,1953,167.2477468,7.31,1.277616002,35.98078692,10547000000,4.787983101,2.780844587,3422166,8.7,0.027723209,1.328414416
America,PER,Peru,32510462,984973,36677,362.0434554,5.1,1.225660252,29.08516498,59648000000,4.271663815,11.96870845,17866091,8.3,0.112815991,3.029710867
America,USA,Estados Unidos de America,329064917,16256754,299177,873.2115919,5.35,0.118380497,10.89272668,1.7543E+12,4.697858864,5.820140176,166120890,2.5,0.090917319,4.940287816
America,URY,Uruguay,3461731,9708,92,115.3180302,9.29,-0.082446609,31.48210056,9541000000,7.747914023,4.453091858,1738442,2.5,0.00265763,0.280437735
Asia,BGD,Bangladesh,163046173,490533,7052,31.39110784,5.097,1.149318476,10.6627789,44223000000,5.545654308,5.716645098,72549161,11.4,0.004325155,0.300855268
Asia,BRN,Brunei,433296,152,3,23.77127876,7.446,0.822461682,80.16891086,11058000000,1.733413885,-2.396821442,221395,5.9,0.000692367,0.035079945
Asia,KHM,Camboya,16486542,359,0,0.58835867,0.295,1.165135849,64.60246307,19307000000,2.920734776,1.832958016,8888364,6.3,0,0.002177534
Asia,CHN,China,1433783692,91994,4739,3.81856763,4.55,0.0892522,20.03776186,3.35816E+12,0.981015136,8.01334526,780370660,2.5,0.000330524,0.00641617
Asia,IND,India,1366417756,9884100,143355,94.17383478,7.713,0.797216094,21.39853422,3.95426E+11,5.131407472,7.818248962,507704858,16.3,0.010491301,0.723358574
Asia,IDN,Indonesia,270625567,617820,18819,30.9032147,3.83,0.694717688,21.56081101,2.31506E+11,1.560129905,2.97337518,134381715,6.5,0.006953888,0.228293286
Asia,IRN,Iran,82913893,1108269,52196,243.1438119,10.818,0.722822505,22.83923199,71646000000,43.38901627,3.965568691,28071271,4.1,0.062952056,1.336650542
Asia,IRQ,Iraq,39309789,574634,12579,154.6052562,16.17,2.26888921,37.64526953,86298000000,6.041864891,0.477552176,10683686,15.9,0.031999663,1.461808915
Asia,ISR,Israel,8519373,357859,2999,981.9032457,4.319,1.602910669,29.45899334,60159000000,1.492288454,6.884915876,4231237,2.5,0.035202121,4.200532128
Asia,JPN,Japon,126860299,179653,2585,25.92852158,2.8,-0.459952416,18.42767619,7.56032E+11,-0.233352779,2.125722232,68858892,3.2,0.002037675,0.141614833
